X,Y,OBJECT ID,GLOBAL ID,REQUEST ID,USER  TYPE,REQUEST TYPE,REQUEST DATE,STATUS,STREET SEG ID,COMMENTS
-77.00350364,38.92130723,8075,{5968BFBA-BB1D-4689-BBBB-CEEBE0ED13DE},8075,Pedestrian,Speeding,2015/09/16 21:16:01+00,Unassigned,2563,"Drivers often use Bryant St as a cut through from Lincoln to 4th street, often speeding down/up the hill on the 200 block."
-77.00806442,38.9181151,8076,{F3FE3061-39D4-4366-BF47-CE24D2C50008},8076,Pedestrian,Speeding,2015/09/17 03:16:16+00,Unassigned,5363,The unit block of V Street NE is a short cut from Rhode Island Ave or Lincoln Ave to northbound N. Cap. Street. Cars speed down the street extremely fast which is very dangerous.
-77.00811314,38.91407415,8081,{291B01B1-07C9-46C0-94CB-32B8515C9DF5},8081,Pedestrian,Stop sign running,2015/09/16 19:42:09+00,Unassigned,10613,People blow through this constantly and it is directly across the street from a rec center where kids come and go
-77.03044262,38.92761582,8082,{E62E89F8-6859-4C62-89D1-1B6BF4904603},8082,Biker,Other Biking Issue,2015/09/16 19:51:17+00,Unassigned,5792,I would sell my soul to the devil for a bike lane that spans Columbia Rd. This is a major westbound bike commuter corridor and I see daily rage between roadusers being forced to share the road.
-77.00348934,38.92365651,8083,{BF69FB2A-A553-46D9-A4BE-5EBD6230B2BF},8083,Car Driver,Double parking,2015/09/16 19:51:20+00,Unassigned,906,"Illegal parking, especially during football games / practice at the school"
-77.0090493,38.91112887,8084,{0D8C8583-4609-4B9E-900F-DCA63464EC08},8084,Pedestrian,Poor visibility,2015/09/16 20:08:49+00,Unassigned,3172,"This is a very dangerous crosswalk for pedestrians - cars veer right to get on to Lincoln from North Capitol Street at high speeds, usually without signaling or looking for pedestrians."
-77.00905537,38.90832972,8085,{4708508D-D150-40AA-B1C4-F867514190FB},8085,Car Driver,Other Driving Issue,2015/09/16 20:50:23+00,Unassigned,7156,Need to remove parking spaces in the lane leading up to New York Ave. Causes major traffic delays on North Cap when traffic backs up.
-77.005887,38.90924179,8086,{A1752A2B-C264-4712-9897-8C4EA2F6AC88},8086,Car Driver,Other Driving Issue,2015/09/16 20:52:58+00,Unassigned,12959,This is the most dysfunctional intersection in the whole city. Get rid of the crazy Wendy's and build a functioning traffic pattern.
-77.00698103,38.91801202,8087,{5C73DFC8-F75E-4604-A249-6AFFA0862DDE},8087,Car Driver,Other Driving Issue,2015/09/17 03:18:59+00,Unassigned,1749,"The crosswalk sign here is constantly being run over and dislodged, causing problems. This isn't a heavy pedestrian area and the nature of this turn make the crosswalk sign I'll placed. The sign should be removed."
-77.00539957,38.89613851,8097,{173FC0CF-B0C9-4755-A012-3B0783F0317F},8097,Pedestrian,Blocking the crosswalk,2015/09/17 15:06:49+00,Unassigned,4618,The location is not correct but can't move it closer Union Station. The crosswalk to get to columbus circle is almost always blocked by queuing cars. The drivers do not pay attention to pedestrians as they are looking at people directing traffic.
-77.01327487,38.88691882,8098,{4EFEF7B4-EA56-4980-92C2-D587939B0C71},8098,Car Driver,Blocking the bikebox,2015/09/17 15:38:03+00,Unassigned,8787,"Good grief, a six-eight lane road with no bicycle facilities."
-77.01299494,38.88668055,8099,{E6F549DF-727A-4C26-9389-5636DC160219},8099,Biker,Speeding,2015/09/17 15:38:38+00,Unassigned,5297,"Hey DDOT, design a road to look like a highway and guess what car drivers will do.  Slow this road down, make it multimodal."
-77.01856087,38.8905943,8100,{69B72C61-523F-4CF2-8AB0-D68B579FF3F3},8100,Biker,Blocking the bikebox,2015/09/17 15:39:29+00,Unassigned,9177,Things DDOT thinks are more important than providing a bike facility here: TWO lanes of parking.  So bikers have to deal with cars trying to pass them with no space in the one remaining lane.
-77.04110369,38.89939532,8101,{026B7735-C2C1-4907-A274-36014DC4E60F},8101,Biker,Double parking,2015/09/17 15:40:41+00,Unassigned,12067,It's a plague
-77.03457017,38.90656612,8102,{7DDDA98A-E54A-4A8B-B3A4-0C3B3754A188},8102,Biker,Blocking the bikebox,2015/09/17 15:59:23+00,Unassigned,746,During rush hour cars sit in the intersection after their green light cycle terminates blocking both cars and bikes. You should pursue using cameras at this intersection to enforce the law.
-77.03850131,38.90650782,8103,{8736FDDD-A06C-4E35-82B9-36917996C56D},8103,Biker,Other Driving Issue,2015/09/17 16:05:33+00,Unassigned,196,Cars are able to take this turn at too fast of a speed with heavy ped/bike traffic in the evenings. A bulbout should be placed on SE corner to slow cars and make for a safer environment
-77.04080885,38.92001649,8104,{823FC299-AFC9-49E7-AA52-930852A19E8E},8104,Biker,Stop sign running,2015/09/17 16:07:12+00,Unassigned,10756,"Concur with the prev comment here. The problem, as I see it, is that the ZipCar van acts as a obstruction for cars to see oncoming traffic - vehicle or bike. The van should be moved a few places away from the corner to permit better awareness."
-76.99375911,38.90358131,8105,{FC9C7E1F-0ABD-4456-8D6E-45229426C2F9},8105,Pedestrian,Failure to stop for pedestrians,2015/09/17 17:59:41+00,Unassigned,4467,"This is one of the worst intersections in the City.  Traffic comes from West Virginia and off K street at crazy speeds and there are no stop signs until Florida/West Virginia and no one understands what to do at corner of 9th, West Virginia and L."
