Bike ID,iOS,Latitude,Longitude,Rental URIS
"{""bike_id"":""64103510-5d48-4ff7-8bda-3a0b222922b8""","ios:""limebike://map?selected_vehicle_id=3PPI355HQJMHI\u0026generated_at=1634666730""}}","lat:""38.9096""","lon:""-77.0444""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=3PPI355HQJMHI\u0026generated_at=1634666730"""
"{""bike_id"":""22362c06-6dc6-429f-902f-6479477b01de""","ios:""limebike://map?selected_vehicle_id=CRSRY42C2POVR\u0026generated_at=1634666730""}}","lat:""38.9126""","lon:""-77.0445""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=CRSRY42C2POVR\u0026generated_at=1634666730"""
"{""bike_id"":""94154418-f27e-4967-aa26-12a17e9eec6d""","ios:""limebike://map?selected_vehicle_id=JEUV27KIXXKRF\u0026generated_at=1634666730""}}","lat:""38.9056""","lon:""-77.0445""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=JEUV27KIXXKRF\u0026generated_at=1634666730"""
"{""bike_id"":""b84d9ba4-e199-4bd4-a925-27be97d65279""","ios:""limebike://map?selected_vehicle_id=OEQIVTGAW2ERA\u0026generated_at=1634666730""}}","lat:""38.9126""","lon:""-77.0446""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=OEQIVTGAW2ERA\u0026generated_at=1634666730"""
"{""bike_id"":""1ef2d23b-c772-4093-bcfb-868f96a0263a""","ios:""limebike://map?selected_vehicle_id=IJ4M47RUSUIAQ\u0026generated_at=1634666730""}}","lat:""38.9238""","lon:""-77.0446""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=IJ4M47RUSUIAQ\u0026generated_at=1634666730"""
"{""bike_id"":""9b32c2ff-7a6e-4170-bd13-5e9dc4713873""","ios:""limebike://map?selected_vehicle_id=PREOXS3FKSDPW\u0026generated_at=1634666730""}}","lat:""38.9102""","lon:""-77.0446""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=PREOXS3FKSDPW\u0026generated_at=1634666730"""
"{""bike_id"":""60ecfca8-6085-4fd1-b800-fc58866f7fa8""","ios:""limebike://map?selected_vehicle_id=Z73DDXMYHN565\u0026generated_at=1634666730""}}","lat:""38.8961""","lon:""-77.0446""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=Z73DDXMYHN565\u0026generated_at=1634666730"""
"{""bike_id"":""6cc9d13d-e5e4-459b-ac1d-e981257f865f""","ios:""limebike://map?selected_vehicle_id=C3VVM67RMYQZF\u0026generated_at=1634666730""}}","lat:""38.9101""","lon:""-77.0446""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=C3VVM67RMYQZF\u0026generated_at=1634666730"""
"{""bike_id"":""fb4d8829-0a1c-4ad9-bc9c-ad703ef84352""","ios:""limebike://map?selected_vehicle_id=M3UFWE3A5S3OS\u0026generated_at=1634666730""}}","lat:""38.8996""","lon:""-77.0447""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=M3UFWE3A5S3OS\u0026generated_at=1634666730"""
"{""bike_id"":""829e9fce-9bd3-4d09-a97a-15ba4b206623""","ios:""limebike://map?selected_vehicle_id=V3QWO4K64ZDCK\u0026generated_at=1634666730""}}","lat:""38.8962""","lon:""-77.0447""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=V3QWO4K64ZDCK\u0026generated_at=1634666730"""
"{""bike_id"":""2be84675-6515-4a84-8c23-df63b5ad6ed6""","ios:""limebike://map?selected_vehicle_id=IJLPOPQ7QHTBM\u0026generated_at=1634666730""}}","lat:""38.8952""","lon:""-77.0447""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=IJLPOPQ7QHTBM\u0026generated_at=1634666730"""
"{""bike_id"":""37a33908-de7f-4723-a2ca-a757008cd832""","ios:""limebike://map?selected_vehicle_id=L33FFBNWHHZCZ\u0026generated_at=1634666730""}}","lat:""38.9026""","lon:""-77.0447""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=L33FFBNWHHZCZ\u0026generated_at=1634666730"""
"{""bike_id"":""66dbde46-45a2-4054-a967-f738d95b58fc""","ios:""limebike://map?selected_vehicle_id=JMP24XWKBEMKU\u0026generated_at=1634666730""}}","lat:""38.9024""","lon:""-77.0447""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=JMP24XWKBEMKU\u0026generated_at=1634666730"""
"{""bike_id"":""e96efc83-4173-452f-9cc6-a20025f2cce3""","ios:""limebike://map?selected_vehicle_id=V6VEQSMPZVPJP\u0026generated_at=1634666730""}}","lat:""38.9111""","lon:""-77.0448""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=V6VEQSMPZVPJP\u0026generated_at=1634666730"""
"{""bike_id"":""68066e74-0297-4346-9ca0-e2c1234efd32""","ios:""limebike://map?selected_vehicle_id=7KJFSGVSSEJK3\u0026generated_at=1634666730""}}","lat:""38.914""","lon:""-77.0448""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=7KJFSGVSSEJK3\u0026generated_at=1634666730"""
"{""bike_id"":""bfbef9f1-8777-461d-ac56-bf3dbda4b293""","ios:""limebike://map?selected_vehicle_id=6AFM4MQA2CZJM\u0026generated_at=1634666730""}}","lat:""38.9101""","lon:""-77.0448""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=6AFM4MQA2CZJM\u0026generated_at=1634666730"""
"{""bike_id"":""f8b023ee-c7bf-4cc4-8598-9f620b574720""","ios:""limebike://map?selected_vehicle_id=GJ45OJN2I7UUY\u0026generated_at=1634666730""}}","lat:""38.8984""","lon:""-77.0448""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=GJ45OJN2I7UUY\u0026generated_at=1634666730"""
"{""bike_id"":""8de25ab9-c350-4771-bd5b-ed5efd094aa3""","ios:""limebike://map?selected_vehicle_id=MVMNK5AMFKKTA\u0026generated_at=1634666730""}}","lat:""38.904""","lon:""-77.0448""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=MVMNK5AMFKKTA\u0026generated_at=1634666730"""
"{""bike_id"":""ffd3fbe9-1be3-48cf-a844-31dfd979829f""","ios:""limebike://map?selected_vehicle_id=BU2ZSEHO6TAFQ\u0026generated_at=1634666730""}}","lat:""38.9007""","lon:""-77.0448""","rental_uris:{""android"":""limebike://map?selected_vehicle_id=BU2ZSEHO6TAFQ\u0026generated_at=1634666730"""
